Character,ID,File,Context,English,PhaseOne,PhaseTwo
Dave,0,Room- Home,OnEnterRoomAfterFade,Oh no! My basement is flooded!,,
Dave,41,Room- Home,OnEnterRoomAfterFade,Good thing I have my trusty bucket!,Better grab my bucket!,"If you were treating heart failure, you might consider using a Diuretic! This would improve urine output"
Narr,30,Room- Home,OnEnterRoomAfterFade,Your bucket is over on the shelf. Click on it to add it to your inventory.,,The diuretic is over on the shelf. Click on it to add it to your inventory.
Dave,2,Room- Home,OnLookAtHotspotDoor, It's a door to the outside.,,
Dave,3,Room- Home,OnInteractHotspotDoor,Ok Here I go...,,
Dave,44,Room- Home,OnUseInvPropWater,Oh man... this is going to take forever.,,"Lets consider more than a diuretic, Lets look more at the heart (Pump)"
Dave,45,Room- Home,OnUseInvPropWater,Maybe there's something at Doc's hardware store that can help.,,
Narr,28,Room- Home,OnUseInvPropWater,Click on a space in the room to walk to it.,,
Dave,6,Room- Home,OnUseInvPropWater, This bucket ain't gonna cut it...,,Looks like the patient will need more than a diuretic
Narr,2,Room- Home,OnUseInvPropWater,"Congratulations! The water level has decreased. However, it is not enough...",,
Dave,4,Room- Home,OnUseInvPropWater,"This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.",,Consider ways to increase cardiac output (Stroke volume x heart rate)
Dave,5,Room- Home,OnLookAtPropWater,That's a lot of water!,,
Narr,36,Room- Home,UpdateBlocking,Walk all the way to the right and click the door to leave your basement.,,
Narr,2,Room- Home,OnInteractPropPump,"Congratulations! The water level has decreased. However, it is not enough...",,
Dave,4,Room- Home,OnInteractPropPump,"This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.",,The stroke volume isn't enough! What about afterload??
Narr,3,Room- Home,OnInteractPropPump,You've chosen the correct parts for the pump and the water level has decreased.,,"By using the Large Handle, you have increased the stroke volume of the pump (heart)"
Dave,7,Room- Home,OnInteractPropPump,Still not enough... I could use some extra hands.,,One of the ways to improve heart failure is to recruit more muscle with medication or other methods
Dave,8,Room- Home,OnInteractPropPump, This isn't any better. I should try different parts.,,"Physiologically speaking, what else can you do to improve heart function?"
Tony,0,Room- Home,OnInteractCharacterTony,Here goes nothing!,,
Narr,4,Room- Home,OnInteractCharacterTony, The recruited muscle has helped bring the water level down.,,Having your friends help in the basement is medically like recruitment of more heart muscle (improving pumping efficiency)
Narr,5,Room- Home,OnInteractCharacterNeighbor2,Jim helps get some more water out by scooping it out the window with his bucket. Equivalent to using a diuretic.,,
Narr,6,Room- Home,OnInteractCharacterNeighbor2, 30 minutes later...,,
Neighbor2,0,Room- Home,OnInteractCharacterNeighbor2,"Phew, I'm exhausted",,
Dave,9,Room- Home,OnInteractCharacterNeighbor2, Me too. We could use some extra muscle.,,
Narr,34,Room- Home,OnInteractPropBucket,Bucket added to  your inventory.,,
Dave,42,Room- Home,OnInteractPropBucket, There it is! Now I can scoop up some of this water.,,
Narr,32,Room- Home,OnInteractPropBucket, Click on the bucket icon in your inventory to select it.,,
Dave,43,Room- Home,OnLookAtPropBucket, There's my bucket! I can use that to scoop out the water.,,"Medically, consider the bucket to be a Diuretic "
Dave,44,Room- Home,OnUseInvHotspotWindow,Oh man... this is going to take forever.,,
Dave,45,Room- Home,OnUseInvHotspotWindow,Maybe there's something at Doc's hardware store that can help.,,
Narr,37,Room- Home,OnUseInvHotspotWindow,Click on a space in the room to walk to it.,,
Dave,30,Room- Home,OnUseInvHotspotWindow, This bucket aint going to cut it...,,
,0,Room- Home,Prop Description,Water,,
,1,Room- Home,Prop Description,WaterFront,,
,2,Room- Home,Prop Description,Pump,,
,3,Room- Home,Prop Description,Bucket,,Diuretic
,3,Room- Home,Hotspot Description,Door,,
,5,Room- Home,Hotspot Description,Window,,
Narr,7,Room- Map,OnLookAtPropHardware, The Hardware Store,,
Narr,8,Room- Map,OnLookAtPropHome, Home,,
Narr,9,Room- Map,OnLookAtPropNeighbor1, Jim's House,,
Narr,10,Room- Map,OnLookAtPropNeighbor2, Bob's House,,
,4,Room- Map,Prop Description,Doc's Hardware,,
,5,Room- Map,Prop Description,Home,,
Dave,10,Room- Hardware,OnInteractHotspotDoor,Let's take this back home and see how it works!,,
Dave,11,Room- Hardware,OnInteractHotspotDoor,I need to buy a pump.,,
Narr,11,Room- Hardware,OnInteractPropBeerPack, Beer has been added to your inventory.,,
,6,Room- Hardware,Prop Description,Beer,,
,7,Room- Hardware,Hotspot Description,Door,,
,10,Room- Cutscene,Prop Description,Restart,,
Dave,12,Character- Dave,OnLookAt, My lucky day...,,
,58,Character- Dave,OnLookAt,Save Game,,
,11,Character- Dave,Description,Dave,,
Dave,13,Character- Tony,OnLookAt, It's my neighbor Bob. Maybe he can help.,,
,12,Character- Tony,Description,Tony,,
Dave,14,Character- HardwareClerk,OnLookAt,There's the clerk. He looks bored.,,
HardwareClerk,0,Character- HardwareClerk,OnInteract,Good luck.,,
,10,Character- HardwareClerk,Description,Doc,,
Dave,15,Character- Neighbor2,OnLookAt, That's my friend Jim. ,,
,11,Character- Neighbor2,Description,Neighbor2,,
,12,Item- BilgePump,Description,Bilge Pump,,
,13,Item- MediumHandle,Description,Medium Handle,,
,14,Item- LargeHandle,Description,Large Handle,,
,15,Item- MediumHose,Description,Medium Hose,,
,16,Item- LargeHose,Description,Large Hose,,
Dave,16,Item- CellPhone,OnLookAtInventory, Maybe I could call my friend Jim to come help out. ,,"Medically, this is getting more muscle recruited (improved cardiac pumping efficiency). Pharmacologically this is like Digoxin or Entresto (add generic name too)"
Dave,17,Item- CellPhone,OnLookAtInventory, Thats my cell phone. ,,
,17,Item- CellPhone,Description,Cell Phone,,
,18,Item- SmallHandle,Description,Small Handle,,
,19,Item- SmallHose,Description,Small Hose,,
Narr,33,Item- Bucket,OnInteractInventory, Click on the water with the bucket to scoop it up.,,
,23,Item- Bucket,Description,Bucket,,Diuretic 
,20,Item- Beer,Description,Pizza & Beer,,"This is a way to get your friends to come over to help - in the physiology world, this would be helping to get recruitment of heart muscle"
HardwareClerk,1,Dialog- DialogWithClerk,Option1,"Sure, I have this bilge pump. It's hand operated.",,
Dave,18,Dialog- DialogWithClerk,Option1,Is that the only one you have?,,
HardwareClerk,2,Dialog- DialogWithClerk,Option1,Yes,,
Dave,19,Dialog- DialogWithClerk,Option1,"OK, I will take it.",,
Narr,12,Dialog- DialogWithClerk,Option1,Pump added to inventory,,
Dave,20,Dialog- DialogWithClerk,Option2, I am having a hard time pumping the water out of my basement.,,
HardwareClerk,3,Dialog- DialogWithClerk,Option2,You may want to consider some options for the pump.,,
HardwareClerk,4,Dialog- DialogWithClerk,Option2,We have handles and hoses in stock.,,
,25,Dialog- DialogWithClerk,Dialog Option,I'd like to buy a pump,,
,26,Dialog- DialogWithClerk,Dialog Option,I need to talk to you about the pump.,,
Dave,21,Dialog- BuyOptions,Option1,I'll take a medium handle.,,
Narr,13,Dialog- BuyOptions,Option1,Medium Handle added to  your inventory.,,
HardwareClerk,5,Dialog- BuyOptions,Option1,Anything else?,,
Dave,22,Dialog- BuyOptions,Option2,I'll take a large handle.,,Good choice this is physiologically equivalent to improving stroke volume
Narr,14,Dialog- BuyOptions,Option2,Large Handle added to  your inventory.,,
HardwareClerk,6,Dialog- BuyOptions,Option2,Anything else?,,
Dave,23,Dialog- BuyOptions,Option3,I'll take a medium diameter hose.,,
Narr,15,Dialog- BuyOptions,Option3,Medium Hose added to  your inventory.,,
HardwareClerk,7,Dialog- BuyOptions,Option3,Anything else?,,
Dave,24,Dialog- BuyOptions,Option4,I'll take a large diameter hose.,,"Excellet choice, this is equivlent physiologically to AFTERLOAD REDUCTION"
Narr,16,Dialog- BuyOptions,Option4,Large Hose added to  your inventory.,,
HardwareClerk,8,Dialog- BuyOptions,Option4,Anything else?,,
,27,Dialog- BuyOptions,Dialog Option,Medium Handle,,
,28,Dialog- BuyOptions,Dialog Option,Large Handle,,
,29,Dialog- BuyOptions,Dialog Option,Medium Diameter Hose,,
,30,Dialog- BuyOptions,Dialog Option,Large Diameter Hose,,
,31,Dialog- BuyOptions,Dialog Option,Leave,,
Tony,1,Dialog- GetHelpBob,Option1,Uhh... Now?,,
Dave,25,Dialog- GetHelpBob,Option1, Yeah...,,
Tony,2,Dialog- GetHelpBob,Option1,I dunno man...,,
Dave,26,Dialog- GetHelpBob,Option1, I have beer,,
Tony,3,Dialog- GetHelpBob,Option1,"Alright, I'll see what I can do. ",,
,32,Dialog- GetHelpBob,Dialog Option,I have a flood in my basement. Can you come help me pump it out?,,Gettinf your friends to help is physiologically like recruiting more heart muscle - to improve pumping effectiveness
Dave,27,Dialog- UsePhone,Option1,"Hi Jim. My basement is flooded, can you come over and help me out?",,
Narr,17,Dialog- UsePhone,Option1,That doesn't sound good. I'll bring my bucket.,,This would be like increasing the dose of the diuretic
Neighbor2,1,Dialog- UsePhone,Option1,"Hi Dave, I'm here to he-",,
Neighbor2,2,Dialog- UsePhone,Option1,...,,
Neighbor2,3,Dialog- UsePhone,Option1,Oh boy.,,
Dave,28,Dialog- UsePhone,Option2,"Hi, I'd like to order a large cheese and pepporini pizza for delivery",,You are recruiting more muscle (your friends will stay longer to help if you feed them)
Narr,18,Dialog- UsePhone,Option2," Okay, what is the address?",,
Dave,29,Dialog- UsePhone,Option2, 22 Hart Street,,
Narr,19,Dialog- UsePhone,Option2, Your order will be there in 30 minutes.,,
,33,Dialog- UsePhone,Dialog Option,Call Jim,,
,34,Dialog- UsePhone,Dialog Option,Order Pizza,,
,35,Dialog- UsePhone,Dialog Option,Put Away Phone,,
Narr,20,Global Script,UnhandledInteract,You can't use that,,
Narr,21,Global Script,UnhandledInteract,That doesn't work,,
Narr,22,Global Script,UnhandledInteract,Nothing happened,,
Narr,23,Global Script,UnhandledLookAt,It's nothing interesting ,,
Narr,24,Global Script,UnhandledLookAt,You don't see anything,,
Narr,25,Global Script,UnhandledLookAt,"The ""+ mouseOver.Description.ToLower() + "" isn't very interesting",,
Narr,26,Global Script,UnhandledUseInvInv,You can't use those together,,
Narr,27,Global Script,UnhandledUseInv,You can't use that,,
,32,Guis,Gui Description,DialogTree,,
,37,Guis,Gui Description,InventoryItem,,
,34,Guis,Gui Description,SpeechBox,,
,39,Guis,Gui Description,Save and Exit,,
,40,Guis,Gui Description,Toggle Text Display,,
,41,Guis,Gui Description,Toggle Volume,,
,42,General Text,Text in Label,New Label,,
,65,General Text,Text in GuiOptions,Options,,
,66,General Text,Text in GuiOptions,Display,,
,67,General Text,Text in GuiPrompt,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",,That's greek (or latin) to me? LOL
,46,General Text,Text in GuiSave,Save Game,,
,47,General Text,Text in DialogText,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",,
HardwareClerk,9,DialogChatWithBarney,Start,What is it?,,
Dave,30,DialogChatWithBarney,Option1,I would like to buy a pump,,
HardwareClerk,10,DialogChatWithBarney,Option1,"HSO: Sure, I have this bilge pump (a hand operated pump).",,
Dave,31,DialogChatWithBarney,Option1,Is that the only one you have?,,
HardwareClerk,11,DialogChatWithBarney,Option1,Yes,,
Dave,32,DialogChatWithBarney,Option1,"OK, I will take it.",,
Dave,33,DialogChatWithBarney,Option2,What's with this forest anyway?,,
HardwareClerk,12,DialogChatWithBarney,Option2,Whaddaya mean?,,
Dave,34,DialogChatWithBarney,Option3,"Nice well there, huh?",,
HardwareClerk,13,DialogChatWithBarney,Option3,No. I hate it. Lets never speak of it again,,
Dave,35,DialogChatWithBarney,Option3,Alright,,
Dave,36,DialogChatWithBarney,OptionTree,The trees are cool,,
HardwareClerk,14,DialogChatWithBarney,OptionTree, I guess,,
Dave,37,DialogChatWithBarney,OptionLeaf,I like the foliage,,
HardwareClerk,15,DialogChatWithBarney,OptionLeaf,Yes. It is pleasant foliage,,
Dave,38,DialogChatWithBarney,OptionBye,Later!,,
HardwareClerk,16,DialogChatWithBarney,OptionBye,Whatever,,
HardwareClerk,17,DialogChatWithClerk2,Option1,"HSO: Sure, I have this bilge pump (a hand operated pump).",,
Dave,39,DialogChatWithClerk2,Option1,Is that the only one you have?,,
HardwareClerk,18,DialogChatWithClerk2,Option1,Yes,,
Dave,40,DialogChatWithClerk2,Option1,"OK, I will take it.",,
Narr,28,DialogChatWithClerk2,Option1,"You now have a pump in your inventory, to us it grab it from your inventory (upper right)",,
,48,GuiOptions,UpdateText,Volume: {0},,
,49,GuiOptions,UpdateText,Sound: {0},,
,50,GuiOptions,UpdateText,Music: {0},,
,51,GuiOptions,UpdateText,Speech: {0},,
,52,GuiOptions,UpdateText,Language: {0},,
,53,GuiOptions,UpdateText,Lock Cursor: On,,
,54,GuiOptions,UpdateText,Lock Cursor: Off,,
,55,GuiOptions,UpdateText,Speech + Subtitles,,
,56,GuiOptions,UpdateText,Speech Only,,
,57,GuiOptions,UpdateText,Subtitles Only,,
,58,GuiSave,ShowRestore,Save Game,,
,59,GuiSave,ShowRestore,Restore Game,,
,60,GuiSave,ShowRestore,Empty,,
,61,GuiSave,ShowRestore,Autosave,,
,62,GuiSave,ShowRestore,Latest,,
,63,GuiSave,ShowRestore,"Overwrite save data?""), SystemText.Localize(""Yes""),SystemText.Localize(""No",,
,64,GuiSave,ShowRestore,"Game Saved""), SystemText.Localize(""Ok",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,other crosswalk items
,,,,,,
,,,,,,any washers of valves (if we go to this level of detail) would be quivalent to repairing heart valves
,,,,,,
,,,,,,"The motorized pump (when introduced) would be like a left ventricular asssit device (LVAD) - a ""bridge"" to a heart transplant"
,,,,,,
,,,,,,"The house for sale at the top of the hill is like a ""heart transplant"""
,,,,,,
,,,,,,Larger diameter hose - afterload reduction
,,,,,,
,,,,,,larger (longer pump handle) is increasing stroke volume
,,,,,,
,,,,,,Need a good analogy for nitrates / beta blockers (if considered)
,,,,,,
,,,,,,"Recruitment of more muscle - pharmacologically ""Digoxin"""